Mass,RT,FORMULA,Isomers,Label,Confidence,Standard,Category
89.99524802,13.14140641,C2H2O4,1,Oxalic acid,10,TRUE,
612.1525743,13.50758284,C20H32N6O12S2,1,Oxidized glutathione,10,TRUE,
146.0215294,11.19096345,C5H6O5,9,Oxoglutaric acid,10,TRUE,
219.1106031,5.20964366,C9H17NO5,1,Pantothenic acid,10,TRUE,
165.0789973,6.161098981,C9H11NO2,12,Phenylalanine,10,TRUE,AA
211.0360088,11.0300126,C4H10N3O5P,2,Phosphocreatine,10,TRUE,
167.9823495,13.4089144,C3H5O6P,3,Phosphoenolpyruvic acid,10,TRUE,
129.0789324,7.696081198,C6H11NO2,12,Pipecolic acid,10,TRUE,
115.0632387,8.067816638,C5H9NO2,4,Proline,10,TRUE,AA
114.0792931,7.05913652,C5H10N2O,3,proline amide,7,TRUE,
217.1312295,5.897404024,C10H19NO4,1,Propionylcarnitine,9,TRUE,
244.0695355,7.381191344,C9H12N2O6,2,Pseudouridine,10,TRUE,
120.0435026,4.8401454,C5H4N4,1,Purine,8,TRUE,
167.0582676,4.686403254,C8H9NO3,10,Pyridoxal,8,TRUE,
192.0633829,8.2947801,C7H12O6,9,Quinic acid,8,TRUE,
167.0219277,10.86842044,C7H5NO4,8,Quinolinic acid,8,TRUE,
504.1694421,11.84842926,C18H32O16,28,Raffinose,10,TRUE,Sugar
230.0191876,11.44430913,C5H11O8P,12,Ribose 5-phosphate,8,TRUE,
258.0852753,4.966104564,C10H14N2O6,4,Ribothymidine,7,TRUE,
290.0403254,11.96574405,C7H15O10P,4,Sedoheptulose 7-phosphate,10,TRUE,
105.0425106,10.6851554,C3H7NO3,2,Serine,10,TRUE,AA
174.0528922,9.351268809,C7H10O5,10,Shikimic acid,8,TRUE,
174.0891973,8.432868301,C8H14O4,7,Suberic acid,7,TRUE,
118.026626,10.87049305,C4H6O4,10,Succinic acid,10,TRUE,TCA
364.098324,10.15845534,C12H22O11,29,Sucrose,10,TRUE,Sugar
188.1272732,16.95183909,C7H16N4O2,4,Targinine,9,TRUE,
150.016457,12.60624301,C4H6O6,1,Tartaric acid,10,TRUE,
125.0146525,9.74607475,C2H7NO3S,1,Taurine,10,TRUE,
371.3036949,2.917275263,C21H41NO4,2,Tetradecanoylcarnitine,9,TRUE,
344.070912,10.09200797,C12H17N4O4PS,1,Thiamine monophosphate,8,TRUE,
126.042892,4.452471497,C5H6N2O2,3,Thymine,8,TRUE,
75.06836628,6.729010223,C3H9NO,6,Trimethylamine N-oxide,10,TRUE,
204.089859,7.14166834,C11H12N2O2,8,Tryptophan,10,TRUE,AA
181.0739044,8.305969304,C9H11NO3,9,Tyrosine,8,TRUE,AA
566.055345,12.10257351,C15H24N2O17P2,2,UDP-glucose,10,TRUE,
112.027335,5.064223653,C4H4N2O2,2,Uracil,10,TRUE,Nucleobase
176.0432447,12.37586838,C5H8N2O5,3,Ureidosuccinic acid,8,TRUE,
168.0282983,8.206183354,C5H4N4O3,1,Uric acid,10,TRUE,
244.0695735,5.844084397,C9H12N2O6,2,Uridine,10,TRUE,
404.0023088,12.47022271,C9H14N2O12P2,1,Uridine 5'-diphosphate,10,TRUE,
324.0359796,10.83356077,C9H13N2O9P,4,Uridine 5'-monophosphate,10,TRUE,
580.03496,15.07395051,C15H22N2O18P2,2,Uridine diphosphate glucuronic acid,10,TRUE,
138.0427531,6.741456965,C6H6N2O2,7,Urocanic acid,10,TRUE,
117.0790048,7.900754276,C5H11NO2,13,Valine,10,TRUE,AA
152.033396,7.025754276,C5H4N4O2,3,Xanthine,10,TRUE,
284.0758143,7.828616123,C10H12N4O6,1,Xanthosine,10,TRUE,
306.057774,7.849058603,C10H12N4O6,1,Xanthosine,10,TRUE,
205.0375299,6.833159434,C10H7NO4,4,Xanthurenic acid,10,TRUE,
364.0418337,13.96986604,C10H13N4O9P,1,Xanthylic acid,10,TRUE,
